term	definition
Mechanism of action (MoA)	The specific biochemical interaction through which an antimicrobial produces its pharmacological effect. For antibiotics, the most common mechanisms of action are: Inhibition of cell wall synthesis Inhibition of protein synthesis Disruption of cell membranes Inhibition of DNA replication or transcription Inhibition of bacterial metabolism For compounds identified in phenotypic screens, mechanisms of action may not be immediately obvious. Further studies are required to understand how they achieve their antibacterial effects. Determining mechanism of action is important because it suggests what modifications could be made to a compound to improve its activity and specificity. In addition, antibiotics used as combinations should ideally have different mechanisms of actions, to make it harder for bacteria to develop resistance to treatment.
Median effective dose (ED50)	The dose of a medication that produces a specified effect in 50% of recipients. In antibacterial drug research and development (R&D), ED50 is a measure of efficacy, and is used to compare the efficacy of different compounds in preclinical animal models.
Median lethal dose (LD50)	The dose at which a substance is lethal for 50% of animals tested (usually mice). LD50 values provide a measure of the toxicity of a substance – the lower the LD50 value, the greater its toxicity.
Medicinal chemistry	The design, synthesis and modification of biologically active molecules. Medicinal chemistry plays a critical role in converting a newly discovered molecule with antibacterial activity (a hit) into a safe and effective candidate. Key steps include modifying the molecule to explore the relationship between chemical structure and antibacterial activity (structure-activity relationship, SAR) and adapting the molecule to improve its efficacy and drug-like properties (lead optimization).
Minimum inhibitory concentration (MIC)	The lowest concentration of an antibiotic that prevents the visible growth of bacteria. Potent antibiotics, therefore, have low MIC values. As bacteria become less susceptible to an antibiotic, MIC values increase. To categorize microbes as drug-resistant, the MIC values are compared with standardized recommended breakpoint concentrations.
Multidrug-resistant (MDR)	Lack of susceptibility to at least one agent in three or more chemical classes of antibiotic (e.g. a beta-lactam, an aminoglycoside, a macrolide).
Mycobacterium tuberculosis	A small rod-shaped bacillus that grows very slowly and causes tuberculosis (TB). Mycobacterium tuberculosis (Mtb) survives within human macrophages. It can establish very long-lasting infections, often without causing any symptoms (latent TB). Treatment of TB is highly challenging, requiring several antibiotics for several months. Mtb is slow growing and difficult to culture, and identification increasingly relies on molecular diagnostics. Although Mtb does not acquire antibiotic resistance through genetic exchange, some chromosomal mutations confer resistance to commonly used antibiotics such as rifampicin. Drug-resistant TB infections are a growing public health challenge. Multidrug-resistant TB (MDR-TB), strains resistant to rifampicin and isoniazid, requires longer and more intensive antibiotic treatment, with high treatment failure rates. Extremely drug-resistant TB (XDR-TB) is resistant to rifampicin, isoniazid, fluoroquinolones and at least one second-line drug (amikacin, capreomycin or kanamycin).
Natural products	"Natural products are small molecules produced by living organisms including plants, invertebrates and microorganisms. They are also known as secondary metabolites being non-essential for life; but they play key roles in defence and cell to cell communication. They represent a unique chemical space with compounds distributed in a broad diversity of chemical classes. They have been evolving with nature together with the activities that have been optimized together with the targets. Pharmaceutical companies have been using natural products for decades as one of the major sources for discovery of novel bio-active compounds and today more than 50% of the molecules in development are still natural products, semi-synthetic derivatives or have been inspired in these scaffolds. Today, natural products are still an untapped reservoir with more than 90% of the microbial sources still underexplored and with biosynthetic potential that by far exceeds the initial estimations. This is why natural products still represent one of the major sources of chemical diversity and one of the starting points for the discovery of novel antibiotics."
Neisseria gonorrhoeae	Gram-negative bacterium that causes gonorrhoea, an important and frequently multidrug-resistant sexually transmitted infection. Neisseria gonorrhoeae has progressively developed resistance to many different antibiotics. Cephalosporins are the only class of drug retaining efficacy against most N. gonorrhoeae. However, decreasing sensitivity has been observed to ceftriaxone, leading to treatment failures, and raising the prospect of untreatable infections. N. gonorrhoeae is classified as “high priority” on the WHO’s priority pathogens list for R&D of new antibiotics.
New chemical entity (NCE), new molecular entity (NME)	A novel compound that has not previously been approved for use in humans. NCE (or new drug substance in the EU) is a formal definition used by regulatory authorities, designed to give protection to the developers of new drugs during clinical evaluation phases of drug development. More informally, NCE is used to describe a newly developed drug compound, as opposed to the re-use of an existing drug for a different disease, re-formulation of an existing drug, or a novel combination of existing drugs. Development of new antibiotic treatments depends both on the discovery and development of NCEs.
New drug application (NDA)	The formal process through which a company or other body requests permission from the US Food and Drug Administration (FDA) to make and sell a drug in the USA. In Europe, the equivalent process is known as a marketing authorization application (MAA).
No observed adverse effect level (NOAEL)	Highest dose of a drug that does not produce a significant increase in adverse effects in comparison to a control group in clinical (human) or preclinical studies (animal). Calculating NOAELs is an important aspect of risk assessment in drug development. Determining NOAEL values informs the choice of dose used in clinical trials.
No observed effect level (NOEL)	Highest dose of a drug that has no observable impact distinguishable from those seen in controls. NOEL refers to any effect, but is commonly applied to adverse effects, in which case it is synonymous with NOAEL.
Non-fermenter	A taxonomically heterogeneous group of bacteria that cannot catabolize glucose and are thus unable to ferment. Examples of non-fermenting bacteria that cause infections in people are Pseudomonas aeruginosa, Acinetobacter baumannii and Burkholderia pseudomallei. Ubiquitous in nature and highly adaptable, non-fermenting Gram-negative bacteria are an important cause of hospital-acquired infections (HAIs). These species are often multidrug-resistant.
Non-inferiority margin	A non-inferiority trial is used to test whether an antibiotic is not inferior to an existing product. Non-inferiority is confirmed if efficacy is shown to be no less than a pre-specified value, the non-inferiority margin. Determining an appropriate non-inferiority margin is challenging, and regulators have provided detailed guidance on how it should be calculated.
Non-inferiority trial	"A trial design aiming to assess whether a test product is not inferior to a comparator. Non-inferiority is defined as efficacy that is no lower than a small pre-specified value, known as the non-inferiority margin. This margin must be specified in advance and based on clinical and statistical data; choice of non-inferiority margin can be challenging, and regulatory agencies have published extensive guidance to inform trial design."
Number needed to treat (NNT)	The number of patients that need to be treated to prevent the health outcome of interest. The number needed to treat is used to provide a more intuitive picture of the efficacy or protective value of an intervention. It can be calculated using the formula NNT = 100/ARR, where ARR is the absolute risk reduction (the difference between event rates in control and intervention groups as a percentage). NNT can provide a more understandable picture of the benefit of an intervention than the commonly used relative risk reduction (RRR, the difference between events rates divided by the rate in the control group). For example, if an intervention reduces event rates from 20% to 10%, the RRR is 50%, the ARR is 10%, and the NNT is 10. However, if an intervention reduces event rates from 4% to 2%, the RRR is still 50%, but the ARR is 2%, and the NNT is 50.
Observational study	A clinical study that is used to gather data but does not involve the testing of an intervention (e.g., new drug). Observational studies are used to collect varying kinds of information, such as the prevalence of an infection, cause of an infection, use of particular drugs in clinical settings, the characteristics of affected patients, the care procedures used, and clinical outcomes for normal standard of care. The information gathered is typically used to identify patient populations and suitable sites for trials, and to guide the design of interventional studies, which assess the impact of interventions such as new drugs. Observational studies can be used to generate evidence of the efficacy of treatments, for example through case–control designs (where outcomes in cases are compared with those in matched individuals). Evidence from observational studies is generally not seen as reliable as that from randomised controlled trials.
Orphan drug	A drug developed to treat a rare (“orphan”) disease. Many diseases are so rare that it is not economically viable for companies to invest in the development of new treatments. Collectively, however, orphan diseases are responsible for a significant burden of disease. Regulatory authorities therefore provide incentives to encourage therapy development for orphan diseases. To qualify for orphan drug status, a therapy must be targeted at a condition affecting fewer than 200,000 persons in the USA (about six in 10,000 people) or not more than five in 10,000 people in the EU. New antibiotics and other anti-infectives targeting rare but important infections can be granted orphan drug status (e.g. treatment of prosthetic joint infections, or treatment of lung infections in people with cystic fibrosis).
Outcome, clinical trial	Measurable changes in health monitored during a clinical trial to assess the efficacy and safety of an intervention. Outcomes can be either positive (e.g. cure, survival) or negative (e.g. death). Choice of outcome measure is a critical aspect of clinical trial design. They must provide a reliable and meaningful measure of the impact of an intervention. Ideally, they are widely accepted and used measures, facilitating pooled analysis of data from multiple studies. It is important to ensure that outcome measures are considered appropriate by regulatory authorities. Discussion with such authorities may be necessary in advance of trials to determine which outcome measures would be acceptable. Endpoints are specific outcome values, used to assess whether an intervention has had a clinically meaningful impact.
Pandrug-resistant (PDR)	Non-susceptibility to all agents in all antimicrobial categories (i.e. bacterial isolates are not susceptible to any clinically available drug). The prevalence of PDR bacteria is difficult to judge as isolates are rarely assessed against all possible antibiotics. However, PDR Gram-negative bacteria have been reported in more than 20 countries in all regions of the world. Mortality in patients infected with these bacteria is high (around 50% on average) but very variable.
Pharmacodynamics (PD)	Study of the uptake, movement, binding and interactions of drugs in the body and how they affect drug activity. Drug activity depends on engagement between a drug and its molecular target. Any factor affecting drug concentration at its target site, strength of binding or duration of binding will affect that drug’s pharmacological activity and clinical responses. Broadly speaking, pharmacodynamics considers the properties of a drug that affect target engagement in the body, while pharmacokinetics considers the effect of the body on a drug.
Pharmacokinetics (PK)	Study of the body’s handling and metabolism of drugs in the body, including their absorption, distribution between different tissues, localization within tissues, modification and excretion (see: ‘ADME‘). Drug activity depends on engagement between a drug and its molecular target. If the body does not absorb a drug, modifies it chemically, or rapidly excretes it, the drug will be less able to bind to its target site and have a biological effect. Broadly speaking, pharmacokinetics considers the effect of the body on a drug, while pharmacodynamics considers the properties of a drug that affect target engagement in the body. Population PK modelling takes account of variation in how drugs are metabolized by different people within a population. This requires more sophisticated statistical methodologies but provides results more relevant to individuals. Physiologically-based pharmacokinetic models are more closely based on human anatomy, physiology and biochemistry. They are complex multi-component models that more accurately reflect human biology but are also more challenging to develop.
Pharmacokinetics-pharmacodynamics (PK/PD)	Integration of pharmacokinetic and pharmacodynamic data to understand how a drug is likely to be distributed through the body over time and the access it will have to its molecular target. This understanding provides the basis for dosing strategies. Typically, PK/PD modelling is used to simulate how a drug is distributed across different tissues (or ‘compartments’) over time. These models can be used to estimate drug concentrations at different body sites for different dosing regimens and drug effect.
Pharmacovigilance	Clinical trials are used to assess the safety of new medicines. Pharmacovigilance is the process of collecting safety data after the drug has been approved for use and giving this information to the regulatory authorities. The data collected includes adverse effects associated with use of a drug. Pharmacovigilance is required after marketing approval to detect potential adverse reactions that could be due to use of the medicine. In particular, it can detect rare side effects that are not picked up during clinical trials or affect specific groups of individuals. A phase 4 clinical trial investigates the occurrence of side effects over time by a new treatment after it has been approved and is on the market.
Phase 1, 2, 3, 4 trials	Different stages of clinical testing of a new drug. Phase 1: First testing in humans, primarily to test safety. A drug is given to a small number of healthy volunteers who are closely monitored. Phase 2: Testing in a small number of patients, to assess safety, to monitor how a drug is metabolized, and to gather initial data on efficacy. Phase 3: A large trial in patients to test efficacy and safety. Pivotal phase 3 trials (or registration trials) provide the key data on efficacy in submissions for regulatory approval. Phase 4: Studies undertaken after a drug has been licensed, to gather further safety, efficacy or effectiveness data in routine clinical use. Phase 2 studies are sometimes divided into phase 2A and 2B. There are no formal definitions of these divisions, but phase 2A studies are typically more preliminary and can address issues such as dosing and safety, while phase 2B studies are generally ‘mini-phase 3’ studies that provide data on efficacy. Increasingly, these categories are becoming less clear-cut, particularly phase 2 and 3 trials.
Placebo-controlled trial	A clinical trial in which patients are randomized to receive either an experimental drug or a placebo (a medicine with no active ingredients). Ideally, such trials are ‘double-blinded’ so that neither patients nor the person administering the drug know what is being given. Placebo-controlled trials are generally not done for antibiotics as this is considered unethical if alternative effective treatments already exist. Clinical trials of antibiotics usually compare a new drug with an existing drug or current standard of care.
Plasma concentration	Plasma concentration refers to the concentration of an agent in the plasma which is derived from full blood. Plasma concentrations are used to define major PK and PK/PD parameters. In most cases, they are good estimates for the distribution of an antibiotic and there is the added advantage of samples of blood being obtained easily. Routine plasma concentration measurements provide information about total blood concentrations and do not differentiate between the plasma protein-bound and free fraction of the drug concentration.
Plasma protein binding	Plasma protein binding defines the degree of binding of a drug to plasma proteins. Plasma protein binding is a key characteristic of antibiotics since it affects both their pharmacokinetics and pharmacodynamics. In highly bound antibiotics, simple minimum inhibitory concentration (MIC) testing in protein-free standard medium does not reflect activity in patients. Protein binding can be measured by different methods, e.g. equilibrium dialysis (reference method), ultrafiltration, ultracentrifugation. The two major plasma proteins that bind antibiotics are serum albumin and α1-acid glycoprotein.
Pneumonia	An infection of the lungs where the air sacs (alveoli) fill with fluid and pus making breathing difficult. Bacterial pneumonia can follow from an infection by respiratory viruses such as influenza. Community-acquired pneumonia (CAP) affects people outside hospital. Pneumonia can also occur in patients while in hospital (hospital-acquired pneumonia, HAP), particularly when patients are on mechanical ventilation (ventilator-associated pneumonia, VAP). Pneumonia can be caused by bacteria, viruses and fungi. The organisms causing bacterial community-acquired pneumonia are usually different to those responsible for hospital-acquired pneumonia.
Power (clinical trials)	The probability of detecting a true effect in an experimental study. Clinical trials involve a subset of a population of interest. Results are then extrapolated to the population of a whole. However, this raises the risk that the effects seen in the trial are not representative of those that would be seen in the whole population. This risk is greatest when sample sizes are small. Power analysis is used to provide a measure of confidence in results and to ensure the statistical validity of extrapolation to larger populations. Power analysis is a key element of study design, particularly to identify appropriate sample sizes (in clinical trials, how many people need to be recruited). As recruitment can be challenging, there is an incentive to minimize the number of participants in a study. However, with small numbers, it can be difficult to be confident that observed effects provide a reliable indication of an intervention’s effects. A second key factor affecting the power of a study and sample sizes is the effect size that indicates a clinically meaningful change and can be used to judge whether an intervention has demonstrated efficacy. Detecting a small change will require large numbers of participants to provide good statistical confidence. Power analyses are used to provide an estimate of the likelihood (expressed as a percentage) that a particular effect size will be seen for a particular sample size. In practice, preferred likelihoods and effect sizes are selected in order to identify appropriate sample sizes (e.g. a 95% probability of detecting a 20% decrease in an outcome measure of interest). If a study includes too few participants for statistically robust conclusions to be drawn, it is described as underpowered.
Preclinical development	The preclinical phase of drug development refers to testing of activity and toxicity of a drug candidate in in vitro and in vivo studies before testing in patients can be performed. The preclinical development stage begins when a viable candidate for formal preclinical development has been chosen. The programme is informed by guidance documents issued by regulatory agencies and includes CMC, animal toxicology, pharmacological data, and clinical protocols and investigator information. The goal of preclinical development is to submit data for review to the regulatory agencies to approve clinical testing of the drug in humans.
Pro-drug	A drug that is administered in an inactive form and is metabolized in the body into a pharmacologically active agent. A pro-drug may be developed if a biologically active compound has poor pharmacokinetic properties, for example if it is not absorbed well or rapidly excreted.
Prokaryotic cell	A cell that lacks a nucleus enclosed within a nuclear envelope and membrane-bound organelles such as mitochondria. Prokaryotes are single-celled life forms. They include bacteria as well as archaea, which resemble bacteria but also share genetic and biochemical features with eukaryotes. There is little evidence that archaea cause disease in humans.
Prolongation of QT interval	A cardiac abnormality in which the heart muscle takes longer than normal to recharge between beats. The QT interval is a measurement made on an electrocardiogram, which is used to assess the electrical behaviour of the heart. It equates approximately to the time taken between the heart ventricles beginning to contract and when they finish relaxing. Prolongation of the QT interval means that the heart muscle takes longer than normal to prepare to contract. Excessive QT prolongation can trigger abnormal heart rhythms (tachycardia). Prolongation of the QT interval is seen in a range of conditions. It can also be triggered by several drug treatments (including use of some antibiotics). For this reason, regulatory authorities typically require drug developers to provide data on a drug’s effects on the QT interval.
Pseudomonas	A genus of Gram-negative, aerobic non-fermenting bacilli that are commonly found in the environment. P. aeruginosa is a clinically relevant species in hospitalised patients. P. aeruginosa is a common cause of hospital-acquired infections (HAIs). It can cause many types of infection, including bloodstream infections, urinary tract infections and pneumonia. It is a common bacterial infection of the lungs of people with cystic fibrosis. P. aeruginosa is naturally resistant to many antibiotics and is also adept at acquiring resistance through horizontal gene transfer and mutations in genes on its chromosome. Its resistance mechanisms include the ability to increased production of multiple drug efflux pumps and decrease production of porin proteins. Together these reduce the intracellular concentrations of many antibiotics. P. aeruginosa is categorized by WHO as a ‘priority 1 (critical)’ pathogen for R&D of new antibiotics.
QT study	A clinical study to assess the potential of a drug to affect heart rhythms. Some drugs, including antibiotics, can lengthen the time it takes for the heart muscles to prepare for contraction, known as prolongation of the QT interval. The QT interval is a measurement made on an electrocardiogram. Because of this risk, regulatory authorities require that drug developers provide evidence of their drug’s impact on the QT interval.
Qualified infectious disease product (QIDP)	A US incentive scheme designed to promote the development of antibacterial and antifungal drugs to treat serious or life-threatening infections. It was introduced in the Generating Antibiotic Incentives Now (GAIN) Act in 2012. QIDP designation confers particular advantages, including priority review by the US Food and Drug Administration (FDA) and fast-track designation, which can accelerate development of a product, as well as an additional five years’ market exclusivity if a product is licensed.
Quality assurance (clinical trials)	Measures taken to ensure that a clinical study is conducted and reported according to its agreed protocol, and in accordance with Good Clinical Practice and any other relevant regulatory requirements. Quality assurance is based on a planned and systematic set of activities to ensure that all aspects of a clinical trial are carried out to a high standard. These activities are essential to protect the health and wellbeing of participants in trials and to ensure that the data obtained are reliable.
Randomized clinical trial (RCT)	A clinical study in which the participants are allocated randomly to receive an experimental clinical intervention (such as a new antibiotic) or a control intervention. RCTs are considered the most rigorous test of efficacy of a new treatment. The control intervention may be a placebo or the usually used treatment for a condition (standard of care). Ideally, neither patient nor experimenter should know which treatment is being given (a double-blind RCT). If it is not possible for the experimenter not to be aware of the treatment, a single-blind design is used. In open-label trials, both patient and experimenter are aware which treatment is being provided. This creates a significant risk of bias. Various methods are used to reduce the risk of bias, such as assessment of outcomes by an individual who does not know which treatment was given.
Sepsis	Life-threatening organ failure caused by a dysregulated host response, often to an infection. In informal use, sepsis often refers to a bloodstream bacterial infection (BSI), and the term is sometimes used synonymously with septicaemia. More than 19 million cases of sepsis and 5 million sepsis-related deaths are estimated to occur each year, most of them in low- and middle-income countries. Sepsis causes nearly half a million deaths in the newborn period each year. Globally, antimicrobial resistance contributes to one-third of neonatal sepsis deaths.
Septic shock	Severe sepsis in which dangerously low blood pressure substantially increases the risk of organ failure and death.
Serious adverse event (SAE)	Any unfavourable occurrence in a trial participant that has a major impact on their health. All SAEs occurring during a trial must be documented in clinical study reports and whether they are considered related to participation in the trial. Independent investigations are carried out to determine whether the SAE was potentially related to the trial intervention or was a random occurrence. Suspected unexpected serious adverse reactions (SUSARs) are those considered likely to have been caused by the study intervention.
Skin and soft tissue infection (SSTI)	Microbial invasion of the layers of the skin and underlying soft tissues. The FDA defines acute bacterial skin and skin structure infection (ABSSSI) as a bacterial infection of the skin with a lesion size area of at least 75 cm2 (cellulitis, erysipelas, wound infection, major cutaneous abscess). The EMA classification of bacterial skin and soft tissue infection (BSSTI) includes cellulitis, erysipelas, wound infections (traumatic or post-surgical) and major abscesses. Complicated skin and soft tissue infections (cSSTI) are the most severe and involve deeper soft tissue. Staphylococcus aureus is the most common cause of cSSTIs, with methicillin-resistant S. aureus (MRSA) a particular challenge.
Small molecule	A chemical/antimicrobial with a mass usually less than 1000 daltons. Small molecules have long been the preferred type of pharmaceutical. Their advantages include relative ease of chemical manufacture, pharmacologic predictability, ability to enter cells and potential for oral use.
Standard of care (SOC)	Treatment that is accepted by medical experts as the most appropriate for a certain type of disease in a particular setting and is widely used by healthcare professionals. Also called best practice, standard medical care, best available therapy and standard therapy. When new treatments are being evaluated in clinical trials, they will generally be compared with standard of care or as an addition to standard of care.
Staphylococcus	A genus of Gram-positive facultatively anaerobic cocci including Staphylococcus aureus that includes several that infect humans,. S. aureus is a common commensal bacterium. However, it can cause infections in the bloodstream, skin- and soft tissue, as well as other body sites. It is also an important cause of infections associated with implants and medical devices. Methicillin-resistant S. aureus (MRSA) are an important cause of hospital-acquired infections (HAIs) and community-acquired MRSA infections have also been detected. Methicillin resistance is generally associated with the presence of the mecA gene, part of a mobile genetic element known as the staphylococcal cassette chromosome mec (SCCmec). S. aureus can be multidrug resistant and MRSA can be resistant to multiple classes of antibiotics too. It is categorized by WHO as a ‘priority 2 (high)’ pathogen for R&D of new antibiotics.
Streptococcus	A genus of Gram-positive cocci that includes several species of bacteria that cause infections in people. S. pneumoniae and S. pyogenes are the most clinically relevant streptococci. S. pneumoniae, or pneumococcus, is a commensal bacterium that can become invasive and pathogenic. It is a major cause of community-acquired pneumonia and meningitis but can cause a wide range of other infections. Group A streptococci (GAS, primarily S. pyogenes) typically infect the throat and skin and can develop into serious invasive infections. Group B streptococci (GBS, S. agalactiae) are the leading cause of disease in new-born babies worldwide and show increasing levels of resistance to second line antibiotics such as macrolides and clindamycin.
Superiority trial	A superiority trial design aims to show that one treatment is clinically better than the other by demonstrating superiority of the test agent over placebo or an active treatment. Regulatory agencies require a superiority trial when there is no licensed comparator available or the treatment effect of any licensed treatment is unknown or is considered questionable (e.g. acute self-limiting infections). For adjunctive treatments, the superiority design demonstrates a clinical effect of the adjunctive treatment vs. standard of care.
Suspected unexpected serious adverse reaction (SUSAR)	Any unfavourable occurrence in a trial participant that is judged to have a major impact on their health, was not anticipated and could potentially be due to the intervention under investigation. SUSARs must be rapidly communicated to regulatory authorities. Trials may be suspended while a SUSAR is investigated.
Target candidate profile (TCP)	The desired characteristics of a preclinical drug candidate. A TCP covers key features such as antimicrobial activity, specificity, stability and physicochemical properties. It is used during early research and development (R&D) phases to select the best compounds to work on and to guide optimization of chemical structures and properties through medicinal chemistry.
Target product profile (TPP)	The desired characteristics of a new drug or other medical intervention (such as a diagnostic tool). TPPs include key factors such as nature of infection, age group, clinical efficacy, safety and tolerability, stability, route of administration, dosing frequency and cost. They are often developed by the World Health Organization (WHO) or other bodies to provide a global consensus on the requirements of a new drug or medical intervention, to guide research and development (R&D) activities.
Target validation	Confirmation that inhibition of a bacterial target structure or enzymatic activity is likely to be clinically useful. A bacterial target is critical to its survival or multiplication. However, it must be shown in vitro or in animal models that inhibition of the target is pharmacologically possible and impairs microbial growth, that it cannot be readily overcome by adaptation of other microbial pathways, and that has no significant impact on the host. Stage of infection must also be considered. A bacterial protein important in late stages of infection, when the host has already been infected, may be a less promising target than one essential to an early stage of infection.
Therapeutic index	The ratio of the blood concentration at which a drug becomes toxic (TD50) and the concentration at which it is effective (ED50). Dosage of drugs with a low therapeutic index can be challenging, as relatively small increases in drug levels can trigger side effects. Such drugs are said to have a small therapeutic window.
Therapeutic window	"The dose range of a drug that provides safe and effective therapy with minimal adverse effects. Generally, at low concentrations, a drug runs the risk of being ineffective; at high concentrations, the risk of adverse effects is increased. Dosing regimens are designed to maintain drug concentrations within therapeutic windows, maximizing efficacy and minimizing side effects."
Tissue concentration	Tissue concentration describes the concentration of a drug in a tissue without specifying the pharmacological compartment of the tissue. For a drug to be able to treat a specific infectious disease it is necessary that the drug is available at the site of infection. Tissues are made of distinct pharmacological compartments (interstitial fluid, cells, and within cells the various subcellular organelles) in which the drug is usually not distributed equally. Therefore, commonly used measurements in tissue homogenates are not informative with respect to the (active) concentration of the antimicrobial at the site of infection. Since most bacterial infections are located in the extracellular compartment, these concentrations are of primary interest. If a compound is distributed mainly extracellularly, such as β-lactams and aminoglycosides, grinding up the tissue means dilution of the drug by mixing intracellular and extracellular fluids, resulting in an underestimation of its concentrations at the site of infection. Conversely, if drugs are accumulated by cells (such as fluoroquinolones or macrolides), assay of total tissue levels will lead to a gross overestimation of the extracellular concentration. The opposite is true for intracellular infections.
Toxicity	The harmful effects of a drug. Toxicity is one of the most common reasons for a drug to fail during clinical development. Toxicology studies traditionally focused on the effects of a drug in animal models, but increasingly in vitro cellular and biochemical approaches are also being used. To a degree, potential toxicity issues can now also be predicted on the basis of chemical structures (‘in silico toxicology’).
Urinary tract infection (UTI)	An infection in any part of the urinary system (kidney, ureter, bladder or urethra). UTIs, particularly by E. coli in women, are extremely common. Widespread use of antibiotics has led to high levels of drug-resistant bacteria that cause UTIs, many caused by bacteria carrying extended-spectrum beta-lactamases (ESBLs). Complicated UTIs (cUTIs) are usually in people with underlying conditions, for example structural or functional abnormalities in the urinary system, other underlying health issues, or the impact of medical interventions such as use of catheters. Most UTIs in older people are cUTIs. cUTIs increase the risk of treatment failure, complications and antibiotic resistance.
Ventilator-associated pneumonia (VAP)	A lung infection that develops in a patient who is on a ventilator. VAP is the most common infection acquired in intensive care units and is associated with high mortality. It can be caused by multiple microbes, and the need to treat rapidly leads to use of broad-spectrum antibiotics. Treatment is increasingly difficult in many settings due to drug-resistant infections, particularly multidrug-resistant Acinetobacter baumannii and other ‘ESKAPE’ pathogens. The organisms responsible for VAP are generally different from those causing pneumonia outside the hospital (community-acquired pneumonia).
WHO priority pathogens	A list of antibiotic-resistant bacteria assessed to be of highest priority for new antibiotic development. The global priority pathogens list (global PPL), published in 2017, was developed by an expert group convened by the World Health Organization and took into account a range of criteria such as global disease burden. The list, which includes 12 groups of pathogens in three priority categories (critical, high, medium), provides a framework for prioritizing global research and development (R&D).
