strain	Molecule ChEMBL ID	NAME	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pIC50	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties
Haemophilus influenzae	CHEMBL431921	CHEMBL431921	0	831,1	2	4,33	91	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNCCc2ccccc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C	MIC	'='	77,0	nM	7,1				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL267367	CHEMBL267367	0	954,16	2	4,67	15	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2ccc(C(=O)c3ccccc3)cc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	16,8	nM	7,8				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL264604	DEFORMYLTYLOSIN	0	888,1	2	2,26	69(Deformyltylosin)	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	144,1	nM	6,8				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL298441	CHEMBL298441	0	883,85	2	2,8	27	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCI)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	36,2	nM	7,4				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL42662	CHEMBL42662	0	842,03	2	2,64	45	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CC=C2OCCCO2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	38,0	nM	7,4				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL297041	CHEMBL297041	0	898,12	2	3,1	36	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOS(=O)c2ccccc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	8,9	nM	8,1				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL42289	CHEMBL42289	0	907,11	2	3,4	26	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCNc2ccc(OC(C)=O)cc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	8,8	nM	8,1				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL216402	CHEMBL216402	0	1037,29	None	None	55	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2cccc(N(C)C)c2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	123,4	nM	6,9				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL296286	5-Mcpt	0	567,76	1	3,25	109	CC[C@H]1C[C@@H](C)C(=O)/C=C/C(C)=C/[C@H](C)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]1O	MIC	'='	112,7	nM	6,9				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL296664	CHEMBL296664	0	877,13	2	3,2	42	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCNCCc2ccccc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	9,1	nM	8,0				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL296632	CHEMBL296632	0	725,92	2	2,7	87	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C	MIC	'='	11,0	nM	8,0				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL288885	CHEMBL288885	0	773,96	2	1,36	2	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCO)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	41,3	nM	7,4				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL45421	CHEMBL45421	0	743,93	2	1,99	32 (deformyldesmycosin)	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	10,8	nM	8,0				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL44329	CHEMBL44329	0	918,95	2	4,75	6	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2cc(Cl)cc(Cl)c2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	34,8	nM	7,5				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL296792	CHEMBL296792	0	733,9	2	3,21	103	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2ccc(OC(C)=O)cc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO	MIC	'='	21,8	nM	7,7				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL416256	CHEMBL416256	0	678,95	1	4,5	110	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2CCCCCCC2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C	MIC	'='	23,6	nM	7,6				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL295743	CHEMBL295743	0	903,08	2	2,66	22	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C(=O)c3ccccc3C2=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	35,4	nM	7,5				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL289268	CHEMBL289268	0	787,98	2	2,01	38	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOC)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	40,6	nM	7,4				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL418079	CHEMBL418079	0	928,15	2	3,08	35	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOS(=O)(=O)c2ccc(C)cc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	34,5	nM	7,5				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL46574	CHEMBL46574	0	836,85	2	2,76	28	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCBr)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	19,1	nM	7,7				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL44556	CHEMBL44556	0	866,12	2	4,16	19	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCSc2ccccc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	36,9	nM	7,4				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL44093	CHEMBL44093	0	798,97	2	2,67	24	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN=[N+]=[N-])C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	20,0	nM	7,7				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL43504	CHEMBL43504	0	583,76	1	2,22	107	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCO)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C	MIC	'='	54,8	nM	7,3				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL427585	CHEMBL427585	0	1013,32	None	None	73	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2CCCCCCC2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	126,3	nM	6,9				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL427925	CHEMBL427925	0	877,11	2	4,18	48	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)CC[C@@H](C/C=C2\Nc3ccccc3S2)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	18,2	nM	7,7				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL405718	CHEMBL405718	0	942,15	3	5,23	14	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2ccc(Oc3ccccc3)cc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	17,0	nM	7,8				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL42240	CHEMBL42240	0	759,93	3	0,7	93	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCO)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC	MIC	'='	42,1	nM	7,4				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL42581	CHEMBL42581	0	901,13	2	2,23	46	CCOC(=O)C1CS/C(=C/C[C@@H]2CC[C@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]3O)[C@@H](C)[C@H](O)CC(=O)O[C@H](CC)[C@@H](CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)/C=C(C)/C=C/C2=O)N1	MIC	'='	35,5	nM	7,4				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL43387	CHEMBL43387	0	847,1	3	3,31	86	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCNCCc2ccccc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO	MIC	'='	75,6	nM	7,1				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL42783	CHEMBL42783	0	1014	None	None	77	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCI)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC	MIC	'='	126,2	nM	6,9				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL289114	CHEMBL289114	0	880,08	2	2,93	9	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2ccc(CO)cc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	72,7	nM	7,1				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL42714	CHEMBL42714	0	919,19	2	4,21	47	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)CC[C@@H](C/C=C2\SCCN2Cc2ccccc2)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	17,4	nM	7,8				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL262951	CHEMBL262951	0	1024,25	None	None	53	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2ccc(OC)cc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	125,0	nM	6,9				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL295980	CHEMBL295980	0	923,98	2	3,87	21	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOC(C(F)(F)F)C(F)(F)F)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	69,3	nM	7,2				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
Haemophilus influenzae	CHEMBL296352	CHEMBL296352	0	908,09	2	3,37	33	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2ccc(OC(C)=O)cc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	MIC	'='	8,8	nM	8,1				UO_0000274					FALSE	CHEMBL690110	In vitro antimicrobial activity against Haemophilus influenzae.	F	BAO_0000218	organism-based format	Haemophilus influenzae	None	None	None	None				CHEMBL355	Haemophilus influenzae	Haemophilus influenzae	ORGANISM	CHEMBL1124186	1	Scientific Literature	J. Med. Chem.	1988	None	
